Hugo_Symbol,p_values,p_values_fdr,significance:p_vlaue_fdr
ARFGAP2,0.0022794806512909612,0.0035058785836049994,True
POP7,1.2691827398887731e-15,1.4468782917120735e-14,True
AMY2B,5.782039548335732e-11,2.2015590301410574e-10,True
POLR3GL,5.204581644920935e-14,3.53833718677722e-13,True
NDNL2,3.8825484012732433e-07,9.111672820540046e-07,True
TM2D1,0.002499644010946787,0.003823388550478639,True
OSBPL10,0.00010376439023964934,0.0001862562179332858,True
C12orf71,0.03381501893108285,0.04447312158617863,True
PDE8B,1.7308608145333004e-15,1.8664557160463648e-14,True
NFE2L1,5.418711594220792e-05,0.00010027107382789032,True
GRHL2,1.3087604932611408e-15,1.4769221516311272e-14,True
SMO,2.5792633544449005e-13,1.5007185807737514e-12,True
DMTF1,0.009158221341872278,0.013047029002213724,True
SPAG9,4.2787668336151736e-05,8.022532235013333e-05,True
SDSL,0.001708020244862981,0.002670472416509005,True
SGTB,5.282682049981446e-07,1.2203574807893753e-06,True
BRD8,0.00870556044737265,0.01243497244322495,True
NCR1,2.4702633223293804e-10,8.558724206426002e-10,True
TRIM13,1.933226380904435e-07,4.703067980583596e-07,True
FOXC2,0.030146142511659025,0.03995705499409249,True
ARFIP1,1.972859997479138e-05,3.841861848320607e-05,True
CCDC176,1.8354750442105298e-09,5.66110183694642e-09,True
LGALSL,3.129519504028594e-07,7.422082568931076e-07,True
TPK1,3.029781148492416e-17,1.3264071441316098e-15,True
KCNMB1,9.672285174279046e-07,2.1702653121921098e-06,True
TCTEX1D1,1.593550485847692e-15,1.742315483735372e-14,True
CHRNA6,0.007601975452501935,0.010937297071872317,True
NHLRC4,1.7991453685352824e-12,8.87127869284472e-12,True
TADA3,1.5163086826315538e-06,3.3389716370248685e-06,True
ARHGAP11A,5.3010870406535284e-17,1.5805667915711975e-15,True
ZNF589,0.0046039435600533744,0.006812842641761354,True
INPP5D,8.15370938585868e-11,3.023687054180298e-10,True
RIMS3,4.0354706886112275e-07,9.45001438874325e-07,True
RNF41,2.1459494398809092e-13,1.2717419064817395e-12,True
LRRC38,0.003941890860840191,0.005883037980217218,True
AAAS,4.2866535966362456e-10,1.4379017646969155e-09,True
VDAC1,6.695260635079375e-12,2.96870193714056e-11,True
