Hugo_Symbol,p_values,p_values_fdr,significance:p_vlaue_fdr
RABEP1,2.6045288894507434e-07,7.664946603962793e-07,True
TET3,9.06805772149548e-10,1.093136886055739e-08,True
NUP43,3.6751594078408713e-09,2.168318947078246e-08,True
ZBTB22,1.4685612927356851e-09,1.1838262404110574e-08,True
SLC3A2,7.906875722375847e-07,2.0930321499240386e-06,True
HEXDC,9.062759682479183e-05,0.00017151530840800602,True
TMEM189,9.06805772149548e-10,1.093136886055739e-08,True
C17orf75,4.01259396517199e-09,2.2968045310916545e-08,True
APEH,6.482283621094172e-07,1.7429019385899116e-06,True
DOK7,4.01259396517199e-09,2.2968045310916545e-08,True
TRIM37,1.549422641382351e-07,4.799339159440426e-07,True
TTC21B,0.030966121306207003,0.04117771884879732,True
GJB7,3.0381596073788533e-07,8.791324492038474e-07,True
DCHS2,0.009022197592201872,0.01294146165067145,True
GOSR1,0.0012421446192700297,0.0019946131528062617,True
GPRIN2,8.53422673646545e-10,1.093136886055739e-08,True
CD248,0.029004072577805576,0.03876559797149643,True
NOA1,0.00026668205784660925,0.00047110466809491513,True
THOC5,4.2958778089915806e-08,1.5499433824212521e-07,True
NAT1,1.2434740924380837e-07,3.960364112623137e-07,True
CAGE1,5.513442479658921e-09,2.9469281818102683e-08,True
POU3F1,3.1742931936113884e-09,1.9449440075689794e-08,True
EFNB2,0.005196008123997716,0.007675163774438695,True
SIKE1,2.6610826344429773e-09,1.709564987355985e-08,True
TBC1D20,3.108211060522182e-05,6.277837726004992e-05,True
PHLDA2,0.0002584003941740522,0.000456886396178892,True
FOXP4,0.008770694455590837,0.012600943672682278,True
C8orf34,9.06805772149548e-10,1.093136886055739e-08,True
FBXO5,2.508530941708086e-09,1.63281356510954e-08,True
PSAT1,8.53422673646545e-10,1.093136886055739e-08,True
ALX4,0.00828496902888324,0.011946887898416407,True
EBNA1BP2,2.344352355311041e-08,9.197608130746778e-08,True
NIF3L1,2.8226548342339874e-09,1.784169859545998e-08,True
DEAF1,0.011036728173068493,0.015643212929911242,True
SCNM1,5.579682013024585e-07,1.5278016607227723e-06,True
GSG2,9.06805772149548e-10,1.093136886055739e-08,True
CCDC43,1.1782922950600207e-06,3.01823834477489e-06,True
EGR2,4.790150071767064e-08,1.706534182094783e-07,True
RAD51B,0.0034990021981686206,0.005284138733574868,True
MEGF9,7.37844890371565e-08,2.49340189381236e-07,True
PMS2,2.9259876905925688e-08,1.1113967657615927e-07,True
GFI1,0.008511915015371246,0.012260763102688092,True
LARP1,5.5719019743639245e-05,0.00010839482726028918,True
CYTH2,0.002723440735643718,0.004178651630539589,True
ATG13,0.00011031007942169904,0.00020630146389627056,True
ITM2C,0.010378834253614008,0.01475916708356783,True
DVL2,7.160522709164976e-07,1.908036862576353e-06,True
N6AMT2,1.383114626082743e-09,1.150375790350476e-08,True
TTK,8.029280680234973e-10,1.093136886055739e-08,True
KBTBD2,0.0003481446655561856,0.0006051592851812889,True
NEXN,7.556929455863566e-10,1.093136886055739e-08,True
ACACB,1.4171696914869546e-08,6.131131084507173e-08,True
COIL,1.6090935316643193e-09,1.2566496726718406e-08,True
TMEM133,8.028083508024708e-09,3.910707131030441e-08,True
SDHAF1,0.02077987436152983,0.02835708425589919,True
LRTOMT,1.0972275734771263e-05,2.3815311385623014e-05,True
MAFG,0.028083291139889135,0.037619328042926864,True
COL3A1,5.949378648206278e-08,2.0612819123097364e-07,True
NUMB,1.1545779354322477e-09,1.093136886055739e-08,True
CRY1,2.3493381424195532e-07,6.975733312185937e-07,True
APLNR,5.579682013024585e-07,1.5278016607227723e-06,True
CUL4A,0.002620442176336781,0.004033043336674303,True
ZNF672,0.000115029232886914,0.00021412820938719498,True
SPINK5,0.010129538230684954,0.014429601132603494,True
G2E3,1.5129202138873068e-09,1.2173123751701548e-08,True
METTL2B,9.63065645576518e-07,2.5021746168347647e-06,True
